Krita:Digital painting oriented free and open-source raster graphic editor with vector support. KDE/Calligra based.:KDE:2005:4.1.1:17::GPL
LazPaint:Free multiplatform layered image editor:circular:2011:6.2: ::GPL
LiveQuartz:Basic multi-layer photo editor:Romain Piveteau:2005:2.8:December 1, 2018::proprietary
MacPaint*:Obsolete basic editor:Bill Atkinson:1984:2.0: ::proprietary
Microsoft Office Picture Manager*:Basic image editor:Microsoft:2002:14.0: ::proprietary
Microsoft Paint:Basic graphic creator and editor packaged with Microsoft Windows operating systems:Microsoft:1985:6.1: ::proprietary
Microsoft Photo Editor*:Obsolete basic image editor for Windows:Microsoft:2000:3.01: ::proprietary
MyPaint:Digital painting Application:Martin Renold:12:1.2.1:January 21, 2017::GPL2
OpenCanvas::Portalgraphics:2000:4: ::proprietary
paint.net:Freeware image editor and graphics creator based on the .Net framework:Rick Brewster, et al.:06:4.0.19 (for Windows 7 SP1 or newer) / 3.5.11 (the last version to support Windows XP):October 2, 2017::Freeware
PC Paintbrush*:Obsolete basic editor:ZSoft Corporation:1984:5: ::proprietary
Pencil2D:2D graphical animation software.:Pascal Naidon: :0.4.4: ::GPL
Phatch:Editor for batch processing digital graphics and photographs.:Stani Michiels: :0.2.7: ::GPL
Photofinish*::ZSoft Corporation:1993:2: ::proprietary
Photogenics:Made to create 32-bit HDRs:Idruna Software Inc.:1995:HDR 7.0: ::proprietary
PhotoLine:Image editor with advanced features:Computerinsel (Germany):1995:20.53:2018:€59:proprietary
PhotoPerfect*:Image editor with some advanced features:Arcadia Software AG, Joachim Koopmann Software:2002:2.9: ::proprietary
Photos:Image organizer and basic editor for macOS; replaced iPhoto from OS X 10.10.3 onwards:Apple Inc.:2014:1.0: ::proprietary
Photo Raster:Advanced online photo editor:David Levinsky:2012:0.9: ::proprietary
Picasa*:Efficient image organizer with basic editing tools, other image effects:Google:2002:3.9.141.259:09:Discontinued:Freeware
PicMaster:Has 300 filter effects, slide show, poster printing, mosaics, true 3D, more:Alexander Sabov:12:4.03: ::proprietary
Pinta:Mid-level Free and Open Source raster graphics editor, based on Paint.Net:Jonathan Pobst:07:1.5: ::[[MIT License|MIT]]
PixBuilder Photo Editor::WnSoft Graphic Software:06:1.31: ::proprietary
Pixelmator:Image editor and graphics creator for macOS:Pixelmator Team ltd.:25:3.0: ::proprietary
Pixen:Pixel art and sprite editor for macOS:Open Sword Group: :3.8: ::proprietary
Pixia:Originally designed for Anime/Manga art.:Isao Maruoka:1998:4.70d: ::proprietary
PMview:Fast image viewer with basic editing functions:Peter Nielsen:1992}:3.80 (2017): ::proprietary
Project Dogwaffle:Dan Ritchie retired but others continue active development:Dan Ritchie:1997:2011 (7.0) (1.2 available as freeware): ::proprietary
QFX:Mature and complete image editing package:Ron Scott:1990:8: ::proprietary
Rawstudio:Raw image processor.:Anders Brander & Anders Kvist:22:2.0: ::GPL 2
RawTherapee:Powerful free and cross-platform raw image editor, for developing raw photos from digital cameras.:Gabor Horvath:21:4.0.11: ::GPL
Seashore:Basic counterpart to GIMP, using its XCF format; full support for a few graphics formats:Mark Pazolli:06:0.1.9: ::[[GPLv3]]
Serif PhotoPlus:Complete editor and photo organizer suite; similar features and menus to other software from Serif; available as economy version or in bundle with clipart, effects, public domain image library; made for easy use:Serif:1999:X8:10::proprietary
Shotwell:Image organizer for GNOME:Yorba Foundation:26:0.12.3: ::LGPL 2.1
Tux Paint:Drawing program for young children.:Bill Kendrick:16:0.9.21: ::GPL
TVPaint:2D animation software:Herve ADAM:16:9.5.11: ::proprietary
UFRaw:Raw image format processor:Udi Fuchs: :0.22: ::[[GPL]]
Ulead PhotoImpact*::Ulead Systems: :12: ::proprietary
Ultimate Paint*:Basic graphics editor based on Deluxe Paint:Joseph Ladanyi, Daniel Szabo:1998:2.88: ::proprietary
WinImages:Animation-centric:Black Belt Systems:1985:7.5: ::proprietary
Xara Photo & Graphic Designer:Graphic design program including photo editing and vector illustration tools:Xara:1995 (Windows):9: ::proprietary
XnView:Cross-platform image viewer used for converting, organising and editing graphical & video files.:Pierre-emmanuel Gougelet:1998 (1.06):2.20 (Windows)/0.64 (Linux, macOS): ::proprietary
XPaint:Simple Drawing program for Unix/X11 with Xaw3d widgets:David Koblas, Torsten Martinsen, Jean-Pierre Demailly:1993:2.9.10.3: ::Custom free license
Zoner Photo Studio:All-in-one editor package:Zoner Inc.: :11.0 build 8: : :proprietary
